SEGRADES,success_binary,engagement_count,SCCHOICE,SPUBCHOIX,EDCPUB,homework_intensity,school_involvement,communication_index,enrichment_count,FHHELP,FHCHECKX,FSVOL,FSPTMTNG,FSMTNG,TTLHHINC,PARGRADEX,CSEX,ALLGRADEX,NUMSIBSX,child_age,SEENJOY,HDHEALTH
1,1,4,2,3,1,2.3333333333333335,1.5,1.6666666666666667,4,1,4,1,2,1,9,4,1,10,0,13,2,1
1,1,4,1,1,1,4,1.75,1.6666666666666667,3,4,4,2,2,1,8,4,1,12,2,15,2,2
5,NA,1,2,2,1,1,2,2.3333333333333335,7,NA,NA,2,2,2,10,2,2,5,0,8,1,2
5,NA,7,1,3,1,4,1.25,1,6,4,4,1,2,1,9,4,1,4,1,8,1,2
3,0,8,1,3,1,3.3333333333333335,1,2.6666666666666665,4,3,3,1,1,1,9,4,1,11,1,15,3,2
2,1,5,1,1,1,3.6666666666666665,1.5,1.3333333333333333,7,3,4,1,2,1,9,4,1,6,3,9,2,2
1,1,4,1,1,1,3,1.5,1,6,2,4,1,1,2,4,2,1,6,1,9,1,1
1,1,5,2,3,1,3,1.5,1.6666666666666667,2,1,4,2,1,1,9,4,2,11,1,15,2,1
1,1,4,2,1,1,2.6666666666666665,1.5,2,0,1,3,1,2,1,9,3,1,13,1,16,2,1
1,1,3,1,1,1,2,1.75,1.6666666666666667,0,1,1,2,2,1,8,5,2,14,0,17,2,2
1,1,5,1,3,1,3.6666666666666665,1.75,1.3333333333333333,3,5,4,2,2,1,9,5,2,14,1,17,2,1
1,1,4,1,2,1,3,1.5,1,0,1,4,2,1,1,2,2,2,14,0,18,1,1
5,NA,3,1,3,1,4,1.75,1.6666666666666667,1,5,4,2,1,2,3,3,1,6,0,9,2,4
5,NA,2,2,2,1,1.3333333333333333,1.75,1,1,NA,NA,2,2,1,8,5,1,11,1,16,2,2
2,1,0,2,3,1,3,2,1.6666666666666667,0,5,2,2,2,2,4,3,1,12,0,14,1,4
1,1,1,1,3,1,3.3333333333333335,1.75,1.6666666666666667,4,2,4,2,2,1,10,5,2,10,0,13,1,1
1,1,1,1,1,1,3,2,1,0,2,4,2,2,2,8,2,2,11,0,15,2,1
5,NA,6,1,1,1,2.6666666666666665,1.5,1.3333333333333333,3,1,4,2,1,1,3,3,1,11,0,14,2,2
1,1,3,1,1,1,3,1.75,1.3333333333333333,3,1,4,2,2,1,8,4,2,9,2,13,1,1
1,1,4,2,2,1,3,1.75,1.3333333333333333,4,1,4,2,2,1,11,5,2,13,1,16,1,1
2,1,1,2,2,1,3,2,2,2,5,2,2,2,2,5,4,1,15,2,18,2,1
1,1,2,1,1,1,3.3333333333333335,1.75,1.3333333333333333,2,5,1,2,2,1,9,5,2,12,0,15,2,1
5,NA,5,1,2,1,3.6666666666666665,1.5,1.3333333333333333,2,5,3,1,2,1,6,3,1,12,0,16,2,1
1,1,2,1,1,1,2,1.75,1.3333333333333333,2,1,2,2,2,1,5,1,2,12,0,15,2,2
3,0,3,1,1,1,3.3333333333333335,1.75,1.3333333333333333,1,5,1,2,2,1,8,3,2,15,3,18,2,4
1,1,7,1,1,1,3.3333333333333335,1.25,1,5,2,4,1,2,1,10,5,2,9,1,12,2,1
