SEGRADES,SEGRADEQ,SEENJOY,SEABSNT,SCCHOICE,SPUBCHOIX,SCONSIDR,EDCPUB,SCHLHRSWK,FHHOME,FHWKHRS,FHAMOUNT,FHCAMT,FHPLACE,FHCHECKX,FHHELP,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSATCNFN,FSFUNDRS,FSCOMMTE,FSCOUNSLR,FSFREQ,FSNOTESX,FSMEMO,FCSCHOOL,FCTEACHR,FCSTDS,FCORDER,FCSUPPRT,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,CDOBMM,CDOBYY,CSEX,ALLGRADEX,CSPEAKX,HHTOTALXX,RELATION,P1REL,P1SEX,P1MRSTA,P1EMPL,P1HRSWK,P1AGE,P2GUARD,TTLHHINC,OWNRNTHB,CHLDNT,DSBLTY,HHPARN19X,NUMSIBSX,PARGRADEX,RACEETH,CENREG,ZIPLOCL,HDHEALTH,SEFUTUREX,INTACC,EINTNET,success_binary,engagement_count,homework_intensity,school_involvement,communication_index,enrichment_count,has_choice,child_age
2,3,1,1,2,1,1,1,2,5,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,1,30,1,1,3,4,4,4,1,2,1,1,1,1,1,1,7,1,2,4,2004,1,12,2,3,1,1,2,4,7,NA,46,2,10,1,1,1,2,0,3,2,3,11,2,4,1,3,1,7,1,1.25,2.6666666666666665,5,0,15
2,3,1,1,1,2,2,1,4,3,15,2,2,1,4,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,5,2002,2,14,2,4,3,6,2,1,1,40,50,1,9,1,1,2,4,1,5,2,2,21,4,5,1,4,1,8,2.6666666666666665,1,1,1,1,17
1,1,2,1,2,3,1,2,4,4,8,1,2,2,3,1,1,1,1,1,1,1,1,1,12,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,10,2002,2,13,2,5,2,3,1,1,1,40,37,1,9,1,2,1,1,2,4,3,2,12,2,5,1,3,1,8,2.6666666666666665,1,1.6666666666666667,5,0,17
1,1,2,1,1,1,2,1,4,3,2,1,2,1,4,5,1,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,7,2,2,5,2004,1,12,2,4,1,1,2,1,1,40,43,1,9,1,1,2,1,1,3,1,3,41,1,5,1,4,1,2,4,2,1.3333333333333333,5,1,15
1,3,2,1,1,1,1,1,4,1,0,3,1,1,4,1,1,2,1,2,1,1,2,2,3,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2010,1,6,2,3,1,3,2,1,2,40,27,1,4,1,2,2,1,0,4,1,3,41,1,5,1,4,1,4,2,1.75,1,2,1,9
1,1,1,1,2,2,2,1,2,2,5,3,3,1,4,2,1,1,1,1,1,1,2,1,10,1,1,1,1,1,1,3,1,1,2,1,1,1,1,3,1,2,3,2007,2,10,2,5,2,1,1,1,1,40,45,1,8,1,1,2,1,1,5,4,1,21,1,6,1,3,1,7,2.6666666666666665,1.25,1,5,0,12
1,1,2,1,1,1,1,1,4,4,25,2,2,1,3,1,1,2,1,2,1,2,2,2,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,7,2,1,7,2002,2,14,2,6,1,1,2,1,1,50,45,1,7,1,1,2,1,1,3,3,3,11,1,6,1,4,1,3,2.6666666666666665,1.75,1,4,1,17
2,2,1,1,1,1,2,1,4,3,10,1,2,1,4,2,1,2,2,1,1,2,2,1,10,1,1,1,2,1,1,1,2,2,2,1,1,1,1,7,2,2,7,2006,2,10,2,6,5,1,2,1,3,NA,38,2,6,1,2,2,2,2,3,2,2,12,2,6,1,4,1,4,3,1.75,1.3333333333333333,2,1,13
1,1,1,1,1,2,2,2,4,3,7,1,1,1,3,2,2,1,1,1,1,1,2,2,58,1,1,1,1,1,1,1,1,1,2,1,1,1,1,6,2,1,7,2008,1,8,2,4,2,1,1,1,1,50,53,1,10,1,1,2,1,1,5,1,2,21,1,5,1,4,1,5,2.6666666666666665,1.25,1,5,1,11
1,2,1,1,2,1,2,1,4,4,2,1,1,2,4,4,1,1,1,2,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,2,6,2013,2,2,2,2,2,1,1,3,1,55,25,2,7,1,2,2,3,0,2,1,2,22,1,5,1,4,1,5,4,1.5,1,5,0,6
1,1,1,1,1,3,2,1,4,1,3,1,1,1,3,1,1,2,1,1,1,1,2,1,3,2,1,1,1,2,1,1,1,2,2,2,1,1,1,3,2,1,4,2002,2,14,2,4,1,3,2,1,1,15,57,1,8,1,1,2,1,1,3,1,4,21,1,6,1,4,1,6,1.6666666666666667,1.5,1.3333333333333333,3,1,17
3,3,3,1,1,1,2,1,4,3,10,2,2,1,3,5,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,12,2000,2,15,4,2,1,1,2,4,1,35,44,2,1,2,1,2,2,0,1,3,2,32,2,3,3,3,0,3,3.6666666666666665,1.5,1.6666666666666667,1,1,19
1,1,2,1,1,2,2,1,2,1,4,1,1,1,4,5,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,7,1,1,8,2007,2,9,2,4,1,1,2,1,7,NA,37,1,6,1,1,2,1,1,3,1,1,21,1,6,1,4,1,7,3.3333333333333335,1.25,1.3333333333333333,6,1,12
4,4,3,1,2,1,1,1,4,1,0,3,2,1,4,1,1,1,1,1,1,1,2,1,5,1,1,4,4,4,4,4,1,1,1,1,1,2,2,7,2,2,12,2004,1,12,2,4,1,1,2,5,1,30,41,2,1,1,2,2,2,1,2,1,2,41,2,4,1,4,0,7,2,1.25,3,5,0,15
5,1,1,1,1,2,2,1,4,4,10,1,1,1,4,4,1,2,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,7,1,1,8,2010,1,6,4,4,1,1,1,1,1,32,40,1,10,2,1,2,1,1,5,3,4,11,1,6,1,4,NA,5,4,1.5,1,7,1,9
3,4,2,1,1,3,2,1,4,4,5,2,2,1,4,4,1,2,1,2,1,1,2,2,3,1,2,1,1,3,2,2,2,1,1,1,1,2,1,6,1,1,3,2011,1,5,2,4,1,1,2,5,1,36,32,2,7,1,3,1,2,0,4,1,3,21,3,5,1,4,0,4,4,1.75,1,6,1,8
1,3,2,1,1,2,1,1,4,3,2,1,2,2,4,3,1,2,1,2,1,2,2,2,5,1,1,1,2,2,2,2,1,1,1,2,1,1,1,3,2,2,2,2009,2,7,2,4,1,1,2,1,1,40,39,1,9,1,2,2,1,1,4,1,1,43,1,5,1,4,1,3,3.3333333333333335,1.75,1.3333333333333333,4,1,10
NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,7,1,2,6,2008,1,8,2,4,1,1,2,1,5,NA,47,1,9,1,2,1,1,1,5,1,2,41,1,5,1,NA,NA,0,NA,NA,NA,5,0,11
2,3,2,1,2,3,2,1,4,6,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,3,2,1,1,1,2,1,2,7,2,2,12,2008,2,7,2,5,2,1,1,3,1,50,48,2,7,2,5,1,3,0,3,1,3,13,1,4,1,4,1,2,1.3333333333333333,1.75,1.6666666666666667,3,0,11
5,3,2,1,1,1,1,1,4,3,2,1,1,1,4,3,1,1,1,1,1,2,2,1,4,1,2,1,1,1,1,1,1,2,2,1,1,2,2,7,2,2,10,2009,2,5,4,4,2,1,2,1,1,40,60,1,6,1,2,1,1,1,1,3,4,41,1,4,1,4,NA,6,3.3333333333333335,1.25,1,3,1,10
5,3,1,1,2,1,1,1,2,5,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,2,1,2,2,2,3,3,3,1,1,1,2,1,2,2,1,1,7,2,2,6,2007,1,9,3,5,1,1,2,1,1,48,27,1,1,2,1,2,1,2,3,3,2,11,1,6,1,3,NA,5,1,1.5,2.6666666666666665,2,0,12
1,1,2,1,1,1,1,1,4,4,7,1,2,1,3,2,1,2,1,2,2,1,2,2,5,2,1,1,1,1,1,1,2,2,2,1,1,2,2,7,2,1,2,2007,1,9,2,3,1,3,2,1,1,40,35,1,7,1,1,2,1,0,2,1,2,21,2,4,1,4,1,3,3,1.75,1.3333333333333333,3,1,12
4,4,2,1,2,3,1,1,4,3,6,3,2,1,4,2,1,2,1,2,1,2,2,2,5,1,1,2,2,3,2,2,2,1,1,2,2,2,2,5,1,2,4,2009,2,7,2,4,1,1,2,5,1,40,33,2,3,2,3,2,2,2,3,2,2,12,2,4,1,4,0,3,3,1.75,1.6666666666666667,3,0,10
2,2,2,2,1,1,1,1,4,2,4,1,1,1,4,2,1,2,1,2,2,2,2,1,5,1,1,1,1,1,1,2,2,1,1,1,2,2,1,4,1,1,10,2005,2,10,2,3,2,1,1,3,1,40,52,2,8,1,1,1,3,1,5,1,4,11,2,5,1,4,1,3,2.6666666666666665,1.75,1,5,1,14
2,3,2,1,1,1,2,1,4,4,5,1,2,2,4,3,2,2,1,2,1,1,2,1,4,1,1,1,1,1,2,1,1,1,1,2,2,1,2,4,1,2,7,2007,1,8,2,5,2,1,1,1,1,60,35,1,6,1,1,1,1,2,4,1,3,23,2,4,1,4,1,4,3.6666666666666665,1.75,1,4,1,12
1,2,3,1,1,1,2,1,4,3,3,3,1,2,4,1,1,2,1,2,2,2,2,2,3,1,1,2,3,2,3,2,2,2,2,2,2,1,2,4,2,2,6,2004,2,12,2,4,1,1,2,1,1,40,48,1,7,1,2,2,1,1,4,1,3,32,2,3,1,4,1,2,2.6666666666666665,1.75,2,0,1,15
1,3,2,2,1,3,2,1,4,2,2,1,1,1,4,2,1,2,1,1,1,1,2,2,6,1,1,1,1,1,1,1,2,1,1,2,1,2,2,7,2,2,9,2006,1,9,2,6,1,1,2,1,2,50,40,1,12,1,2,2,1,3,3,1,3,41,1,4,1,4,1,5,2.6666666666666665,1.5,1,3,1,13
1,2,2,1,1,1,2,1,4,4,8,2,2,1,4,2,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,5,1,2,11,2004,1,12,2,4,2,1,1,1,5,NA,52,1,4,1,2,2,1,0,3,1,3,21,1,4,1,4,1,3,3.3333333333333335,1.75,1.3333333333333333,2,1,15
2,3,2,1,1,3,1,1,4,4,8,1,1,1,4,3,1,2,1,2,1,1,2,1,20,1,1,2,2,2,2,2,1,2,2,1,1,1,1,5,2,2,12,2004,1,10,2,4,1,1,2,5,1,50,45,1,9,2,1,1,1,1,3,2,2,11,2,4,1,4,1,5,3.6666666666666665,1.75,1.6666666666666667,3,1,15
5,2,2,2,1,1,1,1,2,3,2,1,3,1,4,2,1,2,1,1,1,1,2,2,3,2,1,2,3,2,3,3,1,1,1,2,1,2,1,2,1,2,12,2012,2,2,2,7,5,1,2,5,1,40,25,2,1,1,2,2,2,0,2,2,3,11,2,2,1,4,NA,5,3,1.5,2.3333333333333335,5,1,7
3,3,2,1,1,2,2,1,4,1,2,1,1,1,3,1,2,2,1,2,1,1,2,1,3,1,1,2,2,1,3,2,1,2,2,2,2,1,1,3,2,2,3,2004,2,12,2,2,1,1,2,3,1,40,46,2,5,2,5,1,2,0,3,1,2,12,3,5,1,4,0,4,1.6666666666666667,1.75,1.6666666666666667,1,1,15
2,3,2,1,2,3,2,1,4,1,2,1,1,2,4,1,2,2,1,2,1,2,2,2,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,7,2,2,7,2007,2,9,2,5,1,1,1,1,7,NA,39,1,1,1,5,1,1,2,3,1,3,32,2,2,1,4,1,2,2,1.75,1,1,0,12
1,1,1,2,1,1,2,1,4,4,0,1,1,1,2,5,1,2,1,2,2,2,2,2,5,2,1,1,1,1,1,2,2,2,2,2,1,2,1,3,2,2,7,2003,1,13,4,4,1,1,2,4,3,NA,47,2,1,2,1,2,2,1,1,3,4,11,3,6,1,4,1,2,3.6666666666666665,1.75,1.3333333333333333,1,1,16
2,2,2,1,1,2,1,2,4,3,4,1,2,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,4,2,2,9,2001,1,14,2,3,1,1,2,1,5,NA,49,1,8,1,2,2,1,0,2,1,3,21,2,3,1,4,1,8,2.3333333333333335,1,1,3,1,18
2,2,2,1,1,3,1,1,4,6,NA,NA,NA,NA,NA,NA,1,1,1,2,1,2,2,2,7,1,1,2,2,2,2,2,1,2,1,1,2,1,1,4,2,2,9,2011,1,4,2,2,2,1,1,3,1,40,47,2,9,1,2,2,3,0,2,1,4,11,2,4,1,4,1,4,1.3333333333333333,1.5,1.6666666666666667,3,1,8
2,2,2,1,2,1,2,1,4,3,5,1,2,2,3,2,2,2,1,2,1,2,2,2,2,1,2,1,2,3,1,2,2,2,2,2,2,1,1,3,2,2,3,2010,1,6,2,6,9,1,2,1,5,NA,40,1,4,1,2,2,1,3,1,3,4,11,3,5,1,4,1,2,2.6666666666666665,1.75,1.3333333333333333,0,0,9
1,1,2,1,2,3,2,1,4,3,5,2,1,1,4,3,1,2,2,2,1,1,2,2,9,1,1,1,2,2,1,1,2,1,1,2,1,2,2,7,2,2,10,2011,1,4,2,4,1,1,2,3,5,NA,34,1,1,2,1,2,1,2,3,1,2,42,2,2,3,4,1,3,3.3333333333333335,2,1.3333333333333333,3,0,8
2,2,1,1,1,3,2,2,4,3,10,1,1,1,3,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,12,2002,2,13,2,4,2,1,1,1,1,45,45,1,10,1,2,2,1,1,5,1,3,21,1,6,1,4,1,8,2.3333333333333335,1,1,4,1,17
2,3,3,1,2,2,1,1,4,2,2,1,1,1,3,2,1,2,1,2,1,2,2,2,3,1,1,2,2,2,2,2,1,1,1,1,1,1,1,7,2,2,1,2005,1,11,2,4,2,1,1,1,1,40,40,1,10,1,3,1,1,1,4,1,2,41,1,4,1,4,1,3,2.3333333333333335,1.75,1.6666666666666667,5,0,14
5,3,1,2,1,2,2,1,4,2,5,3,1,1,3,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,7,1,1,7,2011,2,5,5,4,2,1,1,1,5,NA,44,1,9,1,2,2,1,1,5,4,2,11,1,5,1,4,NA,2,2.3333333333333335,1.75,1.6666666666666667,5,1,8
NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,5,1,1,10,2007,1,8,2,4,1,1,2,1,2,20,36,1,7,1,1,2,1,1,5,3,2,41,1,6,1,NA,NA,0,NA,NA,NA,6,0,12
1,1,1,1,1,1,2,1,4,4,7,1,1,1,1,5,1,1,1,2,1,2,2,1,12,2,1,1,2,1,1,1,1,2,2,1,2,2,2,6,2,2,4,2001,1,15,2,4,2,1,1,1,1,40,55,1,9,1,1,1,1,1,4,1,3,21,1,6,1,4,1,5,3.3333333333333335,1.5,1.6666666666666667,2,1,18
3,3,2,1,2,2,2,1,4,2,2,1,1,1,3,5,1,2,1,2,1,2,2,2,3,1,1,2,2,2,1,2,1,2,1,1,1,1,1,5,2,2,5,2006,1,10,4,6,1,1,2,1,1,36,37,1,6,1,1,2,1,1,4,3,2,21,1,4,1,1,0,3,3.3333333333333335,1.75,1.6666666666666667,4,0,13
2,3,2,2,1,1,2,1,4,3,5,1,1,1,3,4,1,1,1,2,2,1,2,2,15,2,1,1,1,1,2,2,1,2,1,1,1,1,1,4,2,2,12,2002,1,14,2,5,1,1,2,1,1,40,48,1,8,2,1,2,1,2,4,1,3,22,2,5,1,4,1,4,3.3333333333333335,1.5,1.3333333333333333,4,1,17
4,4,4,1,2,1,1,1,4,4,3,2,2,1,4,4,2,2,1,1,1,2,2,1,3,2,2,4,4,4,4,4,1,2,1,1,1,1,2,2,1,1,5,2003,2,13,2,4,5,1,2,5,5,NA,47,1,2,1,1,1,2,1,4,3,4,11,2,2,2,4,0,4,4,1.5,3.3333333333333335,6,0,16
4,3,4,4,1,1,1,1,4,2,6,2,2,1,3,2,1,2,1,2,2,2,2,2,3,1,1,3,2,2,4,3,1,1,1,1,1,1,1,3,2,1,11,2001,2,14,2,5,1,1,2,1,7,NA,40,1,7,1,3,1,1,2,2,1,2,21,3,4,1,4,0,2,2.3333333333333335,1.75,2,6,1,18
1,1,1,1,1,1,1,1,4,4,2,1,1,1,4,4,1,1,1,2,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,2,3,2012,2,4,2,4,1,1,2,1,1,40,41,1,9,1,1,2,1,1,5,2,2,21,1,6,1,4,1,5,4,1.5,1,5,1,7
5,2,1,2,1,3,1,1,4,3,4,1,1,1,3,2,1,1,1,1,1,1,1,2,8,1,1,1,2,2,2,2,1,2,1,1,2,1,1,6,1,2,2,2009,2,7,2,4,1,1,2,1,1,40,41,1,10,1,2,2,1,1,5,1,1,21,2,6,1,4,NA,7,2.6666666666666665,1,1.3333333333333333,4,1,10
1,2,1,1,2,2,2,1,4,3,6,1,1,1,4,2,2,2,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,0,2,1,2,2004,2,12,2,4,1,1,2,1,5,NA,48,1,9,1,2,1,1,1,4,1,2,21,2,5,1,4,1,3,3,1.75,1.3333333333333333,2,0,15
1,2,2,1,1,3,1,1,4,4,20,2,2,1,2,1,1,1,1,1,1,1,1,1,10,2,2,1,1,1,1,1,2,2,1,1,1,1,1,5,2,1,3,2002,1,14,2,4,1,1,2,1,1,55,53,1,4,2,1,2,1,1,5,2,2,22,1,5,1,4,1,8,2.3333333333333335,1,1.3333333333333333,4,1,17
3,3,2,1,1,1,2,1,4,5,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,5,2,2,10,2003,2,13,4,7,9,1,1,1,1,70,52,1,7,2,2,2,1,3,2,3,4,12,1,4,1,4,0,1,1,1.75,1.3333333333333333,0,1,16
2,2,2,2,2,2,2,1,4,3,3,1,1,1,3,1,1,2,1,2,1,1,2,1,5,1,1,1,1,1,1,1,1,2,2,1,2,1,2,5,1,2,7,2004,1,12,2,4,1,1,2,1,1,40,42,1,8,1,1,2,1,1,3,1,2,42,1,5,1,4,1,5,2.3333333333333335,1.75,1,3,0,15
1,2,2,1,1,3,2,1,4,2,2,3,3,1,4,2,1,2,1,1,1,2,2,2,3,2,1,2,2,2,2,3,1,1,1,1,1,1,1,5,2,2,11,2006,1,9,2,4,2,1,1,1,1,45,40,1,6,1,2,2,1,1,4,4,1,21,2,6,3,4,1,4,2.6666666666666665,1.5,2,5,1,13
5,1,1,2,2,2,2,1,4,6,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,2,11,2011,2,4,2,3,1,1,2,1,1,30,45,1,9,2,2,2,1,0,5,1,4,21,1,6,1,4,NA,6,1.3333333333333333,1.25,1,6,0,8
1,2,2,1,1,2,2,1,4,1,0,1,1,3,1,5,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,9,2001,1,15,2,4,1,1,2,1,1,47,46,1,6,2,2,2,1,1,2,1,1,23,4,5,1,4,1,0,2.3333333333333335,2,1,0,1,18
2,3,2,1,1,1,2,1,4,2,4,1,1,1,2,5,2,2,2,2,2,2,2,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,7,2,2,7,2003,1,13,2,2,1,1,2,3,1,40,43,2,9,2,1,2,2,0,4,1,4,11,1,3,1,4,1,0,3,2,1.3333333333333333,3,1,16
2,1,1,1,1,3,2,1,4,3,10,1,1,1,3,1,1,2,1,1,1,1,2,2,5,2,1,1,1,1,1,1,2,2,2,2,1,1,1,3,2,2,9,2003,1,13,4,4,2,1,1,1,1,60,45,1,9,1,1,2,1,1,3,3,4,21,1,6,1,4,1,5,2.3333333333333335,1.5,1.3333333333333333,1,1,16
1,1,2,1,2,1,2,1,4,3,10,1,1,1,3,5,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,12,2004,1,12,4,4,2,1,1,1,1,50,44,1,10,1,1,2,1,1,5,3,4,41,1,6,1,4,1,2,3.6666666666666665,1.75,1.6666666666666667,2,0,15
1,1,2,1,1,1,1,1,4,3,3,1,1,1,4,2,1,1,1,2,1,1,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,2,2,2009,1,7,2,7,2,1,1,1,1,46,41,1,9,1,2,2,1,4,5,1,3,42,1,4,1,4,1,5,3,1.5,1,5,1,10
1,1,2,1,1,2,2,1,4,2,2,1,1,1,4,1,2,2,2,2,2,1,2,2,2,1,1,2,3,2,1,3,1,1,1,2,1,2,2,6,2,2,4,2004,2,12,2,3,1,1,2,3,1,40,36,2,3,2,3,2,2,1,3,1,2,13,1,4,1,4,1,1,2.3333333333333335,2,2,4,1,15
2,3,1,1,2,3,1,1,4,2,3,1,1,2,1,1,1,2,2,1,2,2,2,1,6,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,2,5,2003,1,13,2,4,1,1,2,1,1,36,42,1,8,1,2,2,1,1,4,3,2,42,3,5,3,4,1,3,1.3333333333333333,1.75,1.3333333333333333,4,0,16
2,3,2,1,1,1,1,1,4,4,5,1,1,1,4,3,1,1,1,2,2,1,2,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,2,2,9,2010,1,5,2,3,1,1,2,1,1,40,51,1,10,1,2,2,1,0,3,2,2,21,2,6,1,4,1,4,3.6666666666666665,1.5,1,5,1,9
2,3,2,1,1,3,2,1,4,4,12,1,2,1,3,2,1,2,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,3,2005,1,11,2,4,2,1,1,1,1,60,50,1,10,1,1,1,1,1,5,3,1,31,1,4,1,4,1,5,3,1.5,1,3,1,14
1,2,2,1,1,3,1,1,2,4,10,1,1,1,2,5,1,1,1,1,1,1,1,1,30,1,1,2,2,2,2,2,1,2,2,2,2,1,1,5,2,2,5,2001,2,14,6,4,1,1,1,1,5,NA,50,1,9,2,1,2,1,0,3,1,4,21,2,5,1,3,1,8,3.6666666666666665,1,1.6666666666666667,1,1,18
1,1,1,1,2,3,2,1,4,1,1,3,2,1,4,1,1,2,1,2,2,2,2,2,30,2,1,2,2,2,3,3,2,2,1,1,1,1,1,2,2,1,12,2005,2,10,2,3,1,1,2,3,1,40,45,2,6,1,1,2,2,1,5,5,2,41,2,5,1,4,1,2,2,1.75,2,4,0,14
3,3,2,1,2,2,2,1,4,3,3,1,1,1,2,5,1,2,1,2,2,2,2,1,16,1,1,2,2,2,2,2,1,2,2,2,2,2,1,4,2,2,12,2000,1,15,2,3,1,1,2,4,5,NA,50,2,1,3,1,2,2,1,3,1,2,13,1,5,1,4,0,3,3.3333333333333335,1.75,1.6666666666666667,1,0,19
1,1,2,2,1,1,2,1,4,4,5,1,1,1,4,2,1,2,1,2,1,2,2,2,8,2,1,1,1,1,1,1,2,2,1,2,1,1,1,4,2,1,2,2003,2,13,2,4,1,1,2,1,5,NA,48,1,12,1,1,2,1,1,5,1,4,13,1,6,1,4,1,3,3.3333333333333335,1.75,1.3333333333333333,3,1,16
3,4,2,1,1,2,2,1,4,4,7,1,2,1,2,2,1,1,1,2,1,1,2,2,3,1,1,1,1,1,1,1,2,2,1,2,2,1,2,5,2,1,1,2001,1,15,2,4,1,1,2,1,1,45,50,1,9,1,1,1,1,1,4,1,1,21,1,4,1,4,0,5,2.6666666666666665,1.5,1,2,1,18
3,3,2,2,1,1,2,1,4,3,6,1,1,2,3,5,1,1,1,2,2,1,2,1,20,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,9,2000,1,15,2,2,2,2,1,2,6,NA,71,2,4,1,2,1,3,0,4,1,3,41,1,4,1,4,0,5,3.6666666666666665,1.5,1.3333333333333333,1,1,19
2,3,2,1,2,1,2,1,4,3,6,2,2,1,4,2,1,2,1,2,1,2,2,1,4,1,1,2,2,1,2,1,1,1,1,1,1,1,1,7,2,1,11,2005,1,10,2,3,2,3,1,1,2,40,58,1,8,1,1,2,1,0,4,1,1,21,1,5,1,4,1,4,3,1.75,1.6666666666666667,6,0,14
5,1,1,1,1,2,2,1,3,2,3,1,1,2,4,2,1,2,1,2,1,1,2,2,5,1,1,1,1,1,1,1,2,2,2,2,1,1,2,4,2,2,4,2009,1,7,2,4,2,2,1,1,2,35,69,1,12,1,1,1,1,1,5,1,4,21,1,6,1,4,NA,4,2.6666666666666665,1.75,1,1,1,10
3,3,2,1,2,3,2,1,4,2,1,1,1,1,4,1,1,2,1,2,1,1,2,2,3,1,1,1,1,1,1,1,2,1,1,2,2,2,2,7,2,2,4,2007,2,9,2,3,2,1,1,1,1,40,52,1,8,1,2,1,1,0,2,1,3,41,1,2,1,4,0,4,2.3333333333333335,1.75,1,2,0,12
1,3,3,1,2,3,1,1,2,4,3,1,2,1,4,2,1,2,1,1,1,1,2,1,7,1,1,2,3,3,3,3,2,2,2,2,1,1,1,3,2,1,10,2005,2,10,4,3,1,1,2,3,1,8,51,2,3,3,1,2,2,0,3,3,2,23,2,6,1,4,1,6,3.3333333333333335,1.5,2,2,0,14
4,3,2,1,1,3,2,1,4,1,2,3,1,1,1,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,3,2,2,2,1,1,1,1,6,2,1,6,2003,1,13,2,4,1,1,2,3,1,40,47,2,5,2,1,2,2,1,2,1,3,32,1,2,1,4,0,0,1,2,2,3,1,16
1,1,2,1,2,2,2,1,4,2,4,1,1,1,4,2,1,2,1,1,1,1,2,2,10,1,1,1,2,2,2,2,2,1,2,1,1,1,1,5,2,2,3,2009,2,7,2,3,2,2,1,1,6,NA,71,1,7,1,1,2,1,0,4,1,4,33,1,5,1,4,1,5,2.6666666666666665,1.5,1.3333333333333333,3,0,10
2,2,2,2,1,1,2,1,4,2,4,1,1,1,3,1,1,2,1,1,1,2,2,2,5,1,1,1,1,1,3,2,2,1,1,2,2,1,2,6,2,2,1,2001,2,15,2,5,2,1,1,1,1,70,47,1,9,3,1,2,1,2,3,1,3,21,1,6,1,4,1,4,2,1.5,1,2,1,18
1,1,1,1,2,2,2,1,4,1,1,1,1,1,4,1,1,1,1,2,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,12,2011,2,4,2,4,1,1,2,1,1,28,38,1,12,1,1,2,1,1,5,1,4,11,2,6,1,4,1,5,2,1.5,1,6,0,8
1,2,2,1,2,2,2,1,4,3,5,1,1,1,3,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,3,1,2,2,2,2,1,1,7,2,2,4,2001,1,15,4,5,2,1,1,1,2,50,37,1,6,2,1,2,1,2,3,3,4,21,1,6,1,4,1,2,2.3333333333333335,1.75,2,1,0,18
1,1,1,1,1,1,2,1,2,3,2,1,1,1,4,3,2,2,1,1,1,2,2,1,10,1,1,1,1,1,1,1,1,1,2,2,1,1,1,7,2,2,8,2003,1,13,3,8,1,1,1,1,3,NA,43,1,3,1,1,2,1,1,4,3,1,11,2,5,1,4,1,4,3.3333333333333335,1.5,1,3,1,16
