SEGRADES,SEGRADEQ,SEENJOY,SEABSNT,SCCHOICE,SPUBCHOIX,SCONSIDR,EDCPUB,SCHLHRSWK,FHHOME,FHWKHRS,FHAMOUNT,FHCAMT,FHPLACE,FHCHECKX,FHHELP,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSATCNFN,FSFUNDRS,FSCOMMTE,FSCOUNSLR,FSFREQ,FSNOTESX,FSMEMO,FCSCHOOL,FCTEACHR,FCSTDS,FCORDER,FCSUPPRT,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,CDOBMM,CDOBYY,CSEX,ALLGRADEX,CSPEAKX,HHTOTALXX,RELATION,P1REL,P1SEX,P1MRSTA,P1EMPL,P1HRSWK,P1AGE,P2GUARD,TTLHHINC,OWNRNTHB,CHLDNT,DSBLTY,HHPARN19X,NUMSIBSX,PARGRADEX,RACEETH,CENREG,ZIPLOCL,HDHEALTH,SEFUTUREX,INTACC,EINTNET,success_binary,engagement_count,homework_intensity,school_involvement,communication_index,enrichment_count,has_choice,child_age
2,2,1,1,2,2,2,1,4,3,5,1,2,1,3,2,1,2,1,2,1,1,2,2,5,1,1,1,1,1,1,2,1,1,1,2,1,2,1,5,2,2,1,2010,2,6,2,4,5,1,1,3,1,40,33,2,8,1,2,2,3,0,3,1,1,41,1,5,1,4,1,4,2.6666666666666665,1.75,1,4,0,9
1,2,2,1,1,1,2,1,4,2,8,1,2,1,3,2,1,2,1,2,1,2,2,1,4,1,1,2,2,2,3,2,1,2,2,1,1,2,2,7,2,1,11,2006,1,9,2,5,1,1,2,1,5,NA,50,1,8,1,3,1,1,2,3,1,3,21,2,3,1,4,1,4,2.3333333333333335,1.75,1.6666666666666667,4,1,13
5,1,1,1,1,2,1,2,4,6,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,2,2,3,1,1,1,1,1,2,2,1,1,1,1,1,2,1,3,1,1,1,2013,2,2,2,6,1,1,2,1,2,40,39,1,12,1,2,2,1,2,5,5,1,22,1,6,1,4,NA,5,1.3333333333333333,1.5,1,7,1,6
1,1,2,1,2,1,2,1,2,3,6,1,1,1,2,5,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,3,1,2,2,1,2,1,1,2,2,2,2,2002,1,14,2,2,2,1,1,3,1,40,46,2,7,1,1,2,3,0,4,3,2,41,1,6,1,4,1,0,3.3333333333333335,2,2,2,0,17
1,1,2,1,2,2,2,1,4,1,1,3,1,2,4,1,1,2,1,2,1,1,2,2,4,2,1,2,3,1,2,1,1,1,1,2,1,1,1,7,1,2,1,2009,2,7,2,3,1,1,2,1,5,NA,48,1,7,1,2,2,1,0,4,1,2,21,1,5,1,4,1,4,2,1.75,2.3333333333333335,5,0,10
3,3,2,3,1,1,1,1,4,3,8,1,1,1,3,2,1,1,1,1,1,1,2,1,10,1,1,2,2,1,3,3,1,2,1,1,1,1,1,3,1,1,1,2004,2,12,2,3,2,1,1,3,1,50,46,2,8,2,1,2,3,1,4,3,4,21,1,5,3,4,0,7,2.6666666666666665,1.25,1.6666666666666667,6,1,15
1,1,1,1,1,3,2,1,4,4,5,1,1,1,4,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,4,1,1,8,2012,2,2,6,4,2,1,1,1,1,40,42,1,10,1,2,2,1,1,5,4,3,13,1,5,1,3,1,5,3.3333333333333335,1.5,1,5,1,7
2,1,2,1,1,1,2,1,4,3,4,1,2,2,4,3,1,1,1,1,1,1,1,1,5,1,1,2,1,1,2,2,1,2,1,1,1,1,2,5,1,1,12,2005,2,10,2,4,2,1,1,1,1,50,42,1,10,1,1,1,1,1,5,3,4,41,1,6,1,4,1,8,3.3333333333333335,1,1.3333333333333333,6,1,14
1,1,2,1,1,1,2,1,4,4,30,1,2,1,3,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,5,1,1,10,2001,2,15,5,3,2,1,1,1,1,40,56,1,12,1,1,2,1,0,5,1,2,21,2,6,1,4,1,2,2.6666666666666665,1.5,2,3,1,18
NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5,1,1,12,2009,1,6,2,6,2,1,1,1,1,45,39,1,8,1,1,2,1,3,5,1,4,43,1,6,1,NA,NA,0,NA,NA,NA,7,0,10
5,1,1,1,1,3,2,1,4,3,10,1,1,1,4,3,1,1,1,1,1,1,2,2,15,1,1,1,1,1,2,2,1,1,1,2,2,2,1,3,1,1,10,2012,2,2,2,4,1,1,2,1,5,NA,39,1,7,1,2,2,1,1,3,2,2,21,1,6,1,4,NA,6,3.3333333333333335,1.25,1,5,1,7
1,1,1,1,1,2,2,1,3,4,7,1,1,1,4,4,1,1,1,2,1,1,2,2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,2,2,1,2013,2,2,2,3,2,1,1,1,1,40,44,1,8,1,2,2,1,0,5,5,4,41,1,6,1,4,1,5,4,1.5,1,5,1,6
1,1,2,1,2,3,2,1,4,3,6,1,2,1,4,2,1,2,1,2,2,1,2,2,5,1,1,2,1,3,1,1,1,2,2,1,1,2,2,7,2,1,10,2007,1,8,2,3,2,1,1,1,1,40,47,1,7,1,2,2,1,0,2,1,2,41,1,5,1,4,1,3,3,1.75,1.3333333333333333,4,0,12
